x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x12 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30
04 02 02 02 02 02 02 02 02 02 02 03 02 01 03 02 04 11 01 01 04 02 04 06 05 03 04 11 
06 02 02 02 02 02 02 02 02 03 02 03 02 02 08 02 03 11 01 03 04 02 04 01 05 04 01 01 
03 02 02 02 02 02 02 02 02 04 02 03 03 02 01 01 03 19 01 02 03 02 04 06 04 03 04 03 
05 02 02 02 02 02 02 02 01 03 01 01 02 01 01 02 03 16 01 01 03 02 05 06 03 03 02 01 
05 02 02 02 02 02 02 02 02 05 01 01 01 01 02 02 04 12 01 03 04 02 06 06 03 04 04 05 
07 01 01 02 01 01 02 01 02 03 02 04 02 01 07 01 04 19 01 02 03 02 03 06 03 04 01 05 
06 02 02 02 02 02 02 02 04 03 02 02 01 01 06 01 03 11 01 01 04 02 04 06 04 05 02 10 
06 02 02 02 02 02 02 02 01 03 02 03 02 01 02 03 03 21 01 02 03 02 04 01 06 03 02 12 
04 02 02 02 02 02 02 02 04 03 02 03 02 01 01 02 03 19 01 02 03 02 04 01 04 03 04 09 
07 02 02 02 02 02 02 02 02 04 01 01 02 02 05 02 05 11 01 02 04 02 02 02 05 05 02 08 
03 02 02 02 02 02 02 02 01 02 02 03 02 01 02 01 04 11 01 02 04 02 04 02 03 03 01 03 
02 02 02 02 02 02 02 02 02 03 02 01 01 01 03 02 03 21 01 02 03 02 03 01 03 03 01 11 
02 02 02 02 02 02 02 02 02 02 02 02 03 01 04 01 02 19 01 01 03 02 03 06 04 03 02 07 
02 02 02 02 02 02 02 02 02 02 02 01 02 01 09 03 03 20 01 03 04 02 03 06 03 04 01 10 
02 02 02 02 02 02 02 02 01 03 02 03 03 01 07 02 01 15 01 02 04 02 04 06 05 04 01 04 
05 02 02 02 02 02 02 02 01 03 01 01 03 01 04 01 03 14 01 02 04 02 04 06 04 03 04 06 
02 02 02 02 02 02 02 02 02 04 02 01 02 02 01 02 01 15 01 02 04 02 04 05 05 03 03 02 
02 02 02 02 02 02 02 02 04 02 01 02 02 02 01 02 02 15 01 02 04 02 04 01 05 03 04 06 
02 02 02 02 02 02 02 02 01 04 02 01 01 01 03 01 04 13 01 01 04 02 05 06 05 04 03 05 
06 02 02 02 02 02 02 02 03 02 02 04 01 02 03 02 05 14 01 03 04 02 02 07 07 04 04 02 
01 02 02 02 02 02 02 02 01 01 02 03 01 02 06 02 04 20 01 02 04 02 05 01 01 04 02 05 
05 02 02 02 02 02 02 02 02 03 02 01 01 01 01 02 04 16 01 02 04 02 03 04 06 05 04 09 
02 02 02 02 02 02 02 02 04 04 01 01 01 01 01 01 03 15 01 01 04 02 04 01 07 03 02 03 
04 02 02 02 02 02 02 02 02 03 02 01 02 01 03 02 05 19 01 03 04 02 04 06 03 03 03 04 
03 02 02 02 02 02 02 02 02 03 01 01 01 02 03 01 02 14 01 01 04 02 07 07 05 05 04 05 
